DATES,SENDER,ARTICLE CONTENT,SENTIMENT
[\nJul 24\n],Julius Twicky,"[#CroozefmNews\nSix NRM MPs cross to Bobi Wine\u2019s People Power, pic.twitter.com/0n3fM3u8v4]",0.0
[\nJul 24\n],Wilfred Zahaa 🇺🇬,[So Bobi Wine has today officially declared he is coming for the Presidential seat come 2021. Do you think he is too early or it's the right time??],0.19285714285714284
[\nJul 24\n],NationBreakingNews,[UGANDAN POP star turned politician Bobi Wine announces he will take on veteran President Yoweri Museveni in 2021 national elections. http://bit.ly/2ZjP3g0\xa0],0.0
[\nJul 24\n],StatMark Media,[Kyadondo Member of Parliament Robert Kyagulanyi alias Bobiwine has today unveiled National people power cordinators a head of the 2021 presidential elections.\n\nhttps://bit.ly/2y6bpWH\xa0pic.twitter.com/7nJJcvUoDr],0.0
[\nJul 24\n],The Observer,[#BobiWine's press conference to officially announce his 2021 presidential bid was laced with music interludes #Uganda @bamulanzekipic.twitter.com/RLuL1Nzbz2],0.0
[\nJul 27\n],Muyomba busuulwa samuel,"[THESE ARE THE HUDDLES IN UGANDA\u2019S LONG WALK TO FREEDOM ,LETS ALL GIVE OUR SUPPORT TO OUR OWN THE PERSON WHOM WE HAVE MADE THE ONE THAT REPRESENTS US ALL Hon KYAGULANYI SSENTAMU ROBERT AKA BOBI WINE #VOTEKYAGULANYI SSENTAMU ROBERT 2021TWEBEREREMU \u2066@HEBobiwine\u2069pic.twitter.com/7h3Kw25ru6]",0.27499999999999997
[\nJul 27\n],SSEMPIJJA GODFREY,[The chosen are really made perfect by God. May the Almighty continue showering you with his precious blood for protection. Amen \n#IN_BOBIWINE_WE_TRUST_UGANDANS\n#GET_YOUR_NATIONAL_ID_2021_WEBELEREMUpic.twitter.com/qQJYB4MmMj],0.5666666666666667
[\nJul 26\n],Lubango Evelyne,"[I swear this time round, we will win (remember) I used WILL or die trying, #bobiwine for president 2021,my generational president, antegela nga nze.]",0.30000000000000004
[\nJul 26\n],lukyamuzi Micheal  🇺🇬,[What do you say about Bobiwine not electing Full figure on the People power cabinet? pic.twitter.com/LBEYPNwe0v],0.35
[\nJul 26\n],Rogers Atukunda,"[#BobiWine #PeoplePower\u2019s Youth Wing leadership led by MP Hon Francis Zaake. \n\nThey are: Namirembe Angella (Deputy - Central Region), iconic musician Lucky Bosmic Otim (Deputy - Northern Region), Mariah Natabi (Deputy - Eastern Region) and Saasi Marvin (Deputy - Western Region).pic.twitter.com/DsJemqbCHB]",0.20833333333333331
[\nJul 25\n],VICTOR NDULA,[cartoon for @dailynation #bobiwine #uganda #elections #2021pic.twitter.com/w6pYuFMox6],0.0
[\nJul 24\n],Ruhweza Ibrahim Kisembo Atwooki,[https://dreamchasermagazine.com/life-skills/price-fame/\xa0\u2026\n#IamADreamchaser like @HEBobiwine #BobiWine pic.twitter.com/9r0fFtFUq5],0.0
[\nJul 24\n],Rashid Kalyowa,[#BobiWine loud and clear Mr president.  The message is written on all the great walls. pic.twitter.com/KKWR48CIyh],0.3333333333333333
[\nJul 24\n],Nuwagaba Molly,"[Nuwagaba Molly Retweeted BBC News Africa, #BobiWine is the incoming president of Uganda ready to unseat the current one by names of #GenYoweriMuseveni who has led Uganda for over 34yearshttps://twitter.com/BBCAfrica/status/1154007830086766593\xa0\u2026, Nuwagaba Molly added,]",0.1
[\nJul 24\n],Mark Owen,[#Uganda President @KagutaMuseveni is to be challenged in 2021 by @HEBobiwine - pictured here on recent appearance with me and @GCSF24 on @EyeOnAfricaF24 #F24 #BobiWine #Ugandapic.twitter.com/KOqXxs0MRI],0.0
[\nJul 24\n],Stone_victor,[#BobiWine  President museveni himuselofu is a true reflection of dictatorship ......viva bobi wine pic.twitter.com/vsazb0P4mi],0.35
[\nJul 24\n],Hon James Mubiru,[HE BobiWine has declared to lead us in this struggle and stand for President &amp; we shall win\n\nNo more questions regarding  with his stand on that again.\n\nI congratulate all regional coordinators and other members that have been assigned to do the needful for the struggle. pic.twitter.com/oBDHojJwfb],0.1875
[\nJul 24\n],Ganda 🍁,"[Do you think BobiWine doesn\u2019t know that? Anyway, There\u2019s plan A-Z. Where A leads to B etc...We were just unveiling plan A. #FunaNdagamuntu]",0.0
[\nJul 24\n],BOBI DIEHARDS,"[TODAT IN PRESS CONFERENCE AT #MAGERE_STATEHOUSE\n#KYAGULANYI_SSENTAMU_ROBERT AKA #BOBIWINE SAID  1 WILL LEAD THE STRAGGLE AND NEVER BETRAY THE PEOPLE , AM STANDING AS A PRESIDENT OF UGANDA 2021\nEITHER WIN OR LOOSE, M7 MUST GOO pic.twitter.com/T51lTfG4fj]",0.3615384615384616
[\nJul 24\n],Kiggundu Martin,[Press conference Happening now at Magere the residence of Hon Robert Kyagulanyi Ssentamu (Bobiwine) pic.twitter.com/WiF5zxcJMK],0.0
[\nJul 24\n],Kiggundu Martin,"[We are live at @Magere now attending people power press conference, @Bobiwine at the floor communicating to the public. pic.twitter.com/UMNUK5OONQ]",0.06818181818181818
[\nJul 23\n],MUNASSINGO WA BOBI,"[The Israelites had Moses, the South Africans had Mandela, the African Americans Martin Luther King, In Uganda we have @HEBobiwine \n#IN_BOBIWINE_WE_TRUST @KagutaMusevenipic.twitter.com/80yXVP28EK]",0.0
[\nJul 22\n],Rukundo shiphra,[Iam for Bobi wine 2021 pic.twitter.com/GSxc1FYfue],0.0
[\nJul 21\n],Sonia Wa Bobi,[MORE AND MORE BLESSINGS FROM CHURCH LEADERS2021 PEOPLE'S CHOICE KYAGULANYI SENTAMU AKA BOBIWINE pic.twitter.com/fpIp6aKuxc],0.5
[\nJul 21\n],SSEMPIJJA GODFREY,[PEOPLE POWER OUR POWER BOBIWINE for PRESIDENTIAL 2021 pic.twitter.com/99gfDShFX1],0.0
[\nJul 21\n],SSEMPIJJA GODFREY,[IF you know you know 2021 museveni must go\n@BOBIWINE_IS_OUR NEXT PRESIDENT OF UGANDA pic.twitter.com/48JGD6C7GP],0.0
[\nJul 20\n],Swaby swabra FBA,"[We all know that HE #Bobiwine is naturally an infectious descendant of Adam. He is naturally creative, his background inspires many, and he is courageously formidable, very humble at personal level and knows how to turn his weakness into opportunities pic.twitter.com/9XSjLHXXdY]",0.168
[\nJul 20\n],Sonia Wa Bobi,[Thanks for supporting the fundamental and human rights and we Ugandans we appreciate your work so much #bobiwine for presidency #get your national ID\n#people power our powerpic.twitter.com/8FgvDp5Fp5],0.1625
[\nJul 26\n],MUNASSINGO WA BOBI,[Remainder to all fellow Ugandans\nBobi wine is fighting for you.....\n#mission 2freedom\nMission 2021 @UPDFspokespersn @usmissionugandapic.twitter.com/zg37y5X0Bi],0.0
[\nJul 26\n],Napstarr Reid  🇺🇬,[JUST IN.\nNrm Govt Attorney General William Byaruhanga has tabled Electoral Reforms with Amendments targeting to impede  Bobiwine from Presidential Contest .\nAccording to the proposed Amendments],0.05000000000000002
[\nJul 25\n],Minbane,"[If the NRM had a real problem with this and saw this as unfit. They should have abolished this practice in 2015 and not in 2019. But, they were not afraid of Amama, but they are scared of #BobiWine. (3) pic.twitter.com/Pg0HrihCeP]",0.25
[\nJul 25\n],Ganda 🍁,"[.@HEBobiwine -10th president of UG in waiting. Muzeyi Wekyange-kyange but you know you will ultimately bow out by ballot, or force Or even by nature coz #BobiWine has the luxury of just sitting back and wait for nature to sort you out. Either way CHANGE IS EMINENT! Twagala Ntebe pic.twitter.com/wI5habXPOD]",0.0
[\nJul 25\n],Dan_k,"[Dan_k Retweeted Al Jazeera English, #BOBIWINE for life,let's keep the fire burning. #Peoplepower_ourpowerhttps://twitter.com/AJEnglish/status/1154051003383025664\xa0\u2026, Dan_k added,]",0.0
[\nJul 25\n],M'vunganyi,"[""People Power is Stronger than the People in Power!""--#BobiWine pic.twitter.com/PtywrIUPrd]",0.0
[\nJul 25\n],Lubango Evelyne,"[Lubango Evelyne Retweeted kawempe's finest, Am proud of him too, #bobiwine for president 2021 https://twitter.com/AlmaHanan3/status/1154235119772864512\xa0\u2026, Lubango Evelyne added,]",0.8
[\nJul 24\n],The Observer,"[Controversy as #BobiWine announces 2021 presidential bid. Karamoja coordinator distances himself from #PeoplePower, saying he wasn't consulted. ""It's surely a presumption by the People Power that whoever voted against the age limit is for them"" https://observer.ug/news/headlines/61442-bobi-wine-announces-presidential-bid\xa0\u2026 #Ugandapic.twitter.com/O89FNjWpxb]",0.5
[\nJul 24\n],Rashid Kalyowa,[#BobiWine the future is today. pic.twitter.com/H2kZT2xqJl],0.0
[\nJul 24\n],Ganda 🍁,[#BobiWine our Opposition sole candidate 2021. It has to be a choice between either M7 or #BobiWine; change or no change; old guard Vs Young; evil vs Good. \n\nOut of that will be our litimus tests to detecting a Museveni decoy. #FunaNdagaMuntu\n#RobertKyagulanyiForPresident2021pic.twitter.com/RWiwZVRpAe],-0.020000000000000018
[\nJul 24\n],Stone_victor,[#bobiwine #uganda but what happened to Kisa Besige??],0.0
[\nJul 24\n],Nxt Radio,[Would you vote for Robert Kyagulanyi aka Bobi Wine for President of Uganda? Give a reason why...\n\nIt's official - Ugandan pop star Bobi Wine will run for president in the 2021 election\n\n#NxtSituationshippic.twitter.com/zPjub40yy9],0.0
[\nJul 24\n],Dr Tammi,[ Ugandan pop star turned leading opposition figure #BobiWine officially announces he will take on veteran President Yoweri Museveni in the 2021 national elections pic.twitter.com/VnxC8K9NJv],0.0
[\nJul 24\n],Shiro Kihoro,[That #Midweek vibe @SwitchLounge_\n#UkurYattani\n#bobiwine pic.twitter.com/QQ0QHb1exo],0.0
[\nJul 22\n],SSEMPIJJA GODFREY,"[I love the way u r building courage in us and reminding us that we r born Ugandans so we ve to fight for our country and make it get its glory , pride  back and better place for the next generation.\n#BOBIWINE_IS_OUR_NEXT_PRESIDENT_OF_UGANDA PEOPLE POWER OUR POWERpic.twitter.com/2IjmXsrDb3]",0.25
[\nJul 21\n],Kiggundu Martin,"[By Hon.Robert Kyagulanyi Ssentamu (@Bobiwine) legislator of Kyadondo East constituency I am @peacefully ready to lead you and out seat Mr Museveni from that @CHAIR come 2021, please get registered for your national IDs.pic.twitter.com/wwsMVNie1X]",0.2
[\nJul 21\n],Kiggundu Martin,"[#Bobi_Diehards on the ground deep in the villages making @charity_activities for the needy students, in @Bobiwine_we_trust pic.twitter.com/jPYdKvtpDw]",0.0
[\nJul 21\n],Buffalo Soldier,[Greetings from Bobi Wine and the lads from Busaabala.\n#WeekendVibes\n#Busaabalapic.twitter.com/d92Pu3CbBo],0.0
[\nJul 21\n],EKYOOTO,[Acholi Sub-region elders and leaders endorse Bobi wine for Presidency https://ekyooto.com/2019/07/21/acholi-sub-region-elders-and-leaders-endorse-bobi-wine-for-presidency/\xa0\u2026],0.0
[\nJul 20\n],Kiggundu Martin,[@President for a common man ( Hon. @Bobiwine) pic.twitter.com/9ka0Q0egqu],-0.3
[\nJul 25\n],OkayAfrica,[Bobi Wine (@HEBobiwine) is serious!http://bit.ly/32Q31IV\xa0],0.0
[\nJul 25\n],Juicy  💧 💧 💧 💧 Jane 💅 💅,"[Follow me, retweet, like for your upcoming winner for #MissUG19 vote for contestant no. 4. #braxy4missuganda #MUFC #BBNaija #ClintonBodyCount #hottestdayoftheyear #AMBERAlert #bobiwine #GainWithTrevor #GainWithMepic.twitter.com/L9eE14epFf]",0.0
[\nJul 25\n],edge.ug,[Opposition figure #Besigye and The Alliance for National Transformation [ANT] founder  #Muntu have welcomed #PeoplePower Movement leader #BobiWine\u2019s 2021 roadmap.\n http://edge.ug/2019/07/24/besigye-muntu-welcome-bobi-wine-2021-roadmap/\xa0\u2026pic.twitter.com/8PvtPj8Awb],0.0
[\nJul 25\n],latifah lulu,[So according to Forbes Bebecool's net worth is $4.5m and bobiwine's is $1.6m. ],0.15
[\nJul 24\n],The Newz Post,"[#BobiWine: VICTORY GUARANTEED; Ugandans are ready to work with me, build a new Uganda http://newz.ug/bobi-wine-victory-guaranteed-ugandans-are-ready-to-work-with-me-build-a-new-uganda-our-country-deserves-better/\xa0\u2026pic.twitter.com/6x5NYTBwWG]",0.16818181818181818
[\nJul 24\n],kawempe's finest,[These bushmen have destroyed our motherland beyond repair but it's overwhelming that we still have patriotic young men like Bobiwine. Holding a candle strictly to reflect a positive mindset to Ugandans that we shall overcome.Bobiwine you inspire me alot #mission2021],0.27575757575757576
[\nJul 24\n],NICANORY MUHANDO,[Ugandan artiste and opposition MP Bobi Wine  officially announced that he will run as President in the 2021 election. #Brekkopic.twitter.com/rfSwmA5IjS],0.0
[\nJul 24\n],Mr. Clean 🧼 🧹 ✊🏿,[Bobi Wine: Ugandan pop star-turned-policitian Bobi Wine says he's running for president - CNN https://www.cnn.com/2019/07/24/africa/bobi-wine-presidential-bid-intl/index.html\xa0\u2026],0.0
[\nJul 24\n],Dracarys 🔥,[Breaking news:\nThank you bobi wine that diamond platinumz arrived in Uganda pic.twitter.com/PMbOUWadqK],0.0
[\nJul 24\n],edge.ug,"[#PeoplePower #BobiWine: \u201cI am ready to challenge the current leadership in 2021 and I promise I will never  at any time betray the people of Uganda.\n\n""President Museveni and his spin masters were utterly exposed and indeed naked."" http://edge.ug/2019/07/24/bobi-wine-im-ready-to-challenge-museveni-in-2021/\xa0\u2026pic.twitter.com/QnetE5tYui]",0.05
[\nJul 24\n],kenna mechi26,[go go go bobiwine.#PeoplePower_OurPower.we are all behind you brother],-0.4
[\nJul 24\n],K24 TV,[Bobi Wine to challenge Museveni in 2021 presidential race https://www.k24tv.co.ke/news/bobi-wine-to-challenge-museveni-in-2021-presidential-race-3965/\xa0\u2026],0.0
[\nJul 24\n],Aurelia BAILLY,[ Uganda's popstar MP Bobi Wine to contest 2021 presidential vote #AFP @HEBobiwine\n @JoelSagetpic.twitter.com/zxKaNLA0Zp],0.0
[\nJul 24\n],Ezekiel Musita,[Being A Leader Isnt Just Abt Boldness But Rather About How U Form A Team To Work With So As To Deliver. Have You Been Working With The Nrm Party To Deliver To Your Constituents @hebobiwine? #bobiwine],0.0
[\nJul 24\n],#YouthSupportPunguzaMzigoBill2019,[Bobi Wine officially declares bid to challenge Museveni for Uganda presidency https://citizentv.co.ke/news/bobi-wine-officially-declares-bid-to-challenge-museveni-for-uganda-presidency-265719/\xa0\u2026],0.0
[\nJul 24\n],Buffalo Soldier,"[\u201cA few months ago I came as a spy to see who @HEBobiwine is, to see what #PeoplePower is\nBobi Wine is not a politician, he\u2019s a true leader\nWe\u2019re not fighting Ugandans, we\u2019re fighting for Ugandans.\n#PeoplePower, for sure power belongs to the people not to the devil\n#EnoughIsEnoughpic.twitter.com/0XjtIT4i5g]",0.21666666666666665
[\nJul 24\n],ChimpReports,"['Museveni Underestimated Us,' Says Bobi Wine While Launching Nationwide Mobilization Team\n#BobiWine #featured https://chimpreports.com/museveni-underestimated-us-says-bobi-wine-while-launching-nationwide-mobilization-team/\xa0\u2026pic.twitter.com/C2kMcoVAgH]",0.0
[\nJul 24\n],Daily Monitor,[People Power leaders gather at Bobi Wine's home as the pressure group launches the steering committee towards the 2021 presidential elections \n#MonitorUpdatespic.twitter.com/OGhJDmSjyj],0.0
[\nJul 22\n],E u G i   🇺🇬  🇰🇪 🇷🇼,[Can someone put Gagamelian or Fire Base Soldier on their CV &amp; have BebeCoolUG and Bobi Wine as their referees??? Asking for a friend. pic.twitter.com/S8SnMFvNv7],-0.8
[\nJul 25\n],Ořdiņarý Ğuý  🕊,[Let's be honest Bobi wine will not be is the next president of Uganda pic.twitter.com/FT4nXbuuWX],0.3
[\nJul 24\n],Africa Uncensored,"[Bobi Wine has announced that he will challenge President Yoweri Museveni in the country's elections set for 2021.\n\nWhen he sat down with @johnallannamu last year, @HEBobiwine outlined what drives him in his quest for change in Uganda.\n\nWATCH: https://www.youtube.com/watch?v=1Qlo9UHFlTk\xa0\u2026 pic.twitter.com/5oSEtQSMTJ]",-0.07777777777777779
[\nJul 24\n],Tilly Law,[Bobi Wine: Ugandan pop star-turned-policitian Bobi Wine says he\u2019s running for president. #twitterjailhttps://sky-news.co.uk/bobi-wine-ugandan-pop-star-turned-policitian-bobi-wine-says-hes-running-for-president\xa0\u2026],0.0
[\nJul 24\n],AJ+,"[Ugandan pop star Bobi Wine, who has been arrested multiple times for protesting President Museveni's 33-year rule and says he was tortured in custody, just announced he will challenge Museveni in the 2021 elections. pic.twitter.com/LaGSaB8jj8]",0.0
[\nJul 24\n],Joshua Bahabwa 🇺🇬,"[Bobiwine and his creed of #peoplepower wants the whole of Ugandan opposition to unite only under his command....this is a far fetched assumption that will ever  happen to our politics! Negotiations have failed over and over again in the past, try out something better now...]",0.03928571428571429
[\nJul 24\n],Rogers Atukunda,[#BobiWine: \u201cI am ready to challenge the current leadership in 2021 and I promise I will never at any time betray the people of Uganda.\n\nWe will not just be spectators as President Museveni and his cronies continue to loot our country.\u201d pic.twitter.com/PWkjFvBZOy],0.1
[\nJul 24\n],The Newz Post,"[#BobiWine: VICTORY GUARANTEED; Ugandans are ready to work with me, build a new Uganda, our country deserves better\n  http://newz.ug/bobi-wine-victory-guaranteed-ugandans-are-ready-to-work-with-me-build-a-new-uganda-our-country-deserves-better/\xa0\u2026 @HEBobiwine #PeoplePower @JoelSsenyonyipic.twitter.com/9dVtPwPXvB]",0.16818181818181818
[\nJul 24\n],Elijah Kakuru,[\u201cWe are now faced with the fact that tomorrow is today. We are confronted with the fierce urgency of now.\u201d- MLK\n#bobiwine @HEBobiwine @daudikabanda @norbertmao @kizzabesigye1 @OfwonoOpondo @UgandaMediaCent @FrankGashumba @JacobOulanyah @newvisionwire @nbstv @ntvuganda @bbstvugpic.twitter.com/qpQHs1Ymoo],0.0
[\nJul 24\n],News South Africa,[Uganda's popstar MP Bobi Wine to contest 2021 presidential vote http://dlvr.it/R90vQg\xa0pic.twitter.com/CHyG36BdIe],0.0
[\nJul 24\n],Ashburg Katto,"[TUSIMBUDDE\n\n... I am willingly ready to lead you into this struggle and I shall never betray you my people, am standing for presidency in 2021... 'Bobi Wine' said\n\n#BobiForPresident\n#PeoplePowerOurPowerpic.twitter.com/RgWBmqFl5E]",0.2
[\nJul 24\n],Arab News,[Ugandan pop star turned leading opposition figure #BobiWine will take on veteran President #YoweriMuseveni in 2021 national elections #Uganda http://bit.ly/2JMY0ZY\xa0pic.twitter.com/WY3gVmF9I1],0.0
[\nJul 24\n],Barack Daniel Jackisa,"[Yeah, while watching @BobiWine in his livestream press conference. I started searching for my National ID #ndagamuntu to get set for 2021\n#Mission2021]",0.0
[\nJul 24\n],Sonia Wa Bobi,[We're the leaders of the future and the future is today  if we only come together we can change our destiny call him kyagulanyi ssentamu the 10th president of Uganda\n#bobiwine for presidency 2021\n#people power our power\n#united forces of changepic.twitter.com/asgVXbsTmP],0.0
[\nJul 24\n],#Bobi4President2021  🇺🇬,[The reason we've camped here in Magere not any other hotel is that all the hotels we booked were intimidated and ordered to stop hosting us unless they face a risk of closure\n~HE BobiWine\n#PeoplePowerOurPower],-0.125
[\nJul 24\n],Next Door Muslim,"[""BOBI WINE is an enemy of the old man in Uganda. Museveni must go. He MUST go and also rest his oversized suits as well. He is a big problem.""\n                          ~ Julius Malema \n#FreeStellaNyanzi\n#RobertKyagulanyiForPresident2021]",0.05
[\nJul 22\n],@Ugandancitizen.,"[#BOBIWINE says he will run for president come 2021. In any other country,  that would be on news but because Uganda Media was threatened and they also accepted to betray their country, they are as quiet as in comma. Shame upon you #Ugandamedia. We dont care, we shall move on]",-0.0625
[\nJul 22\n],Nile Post,[Bobi Wine tells Acholi: Vote for me in 2021 https://nilepost.co.ug/2019/07/22/bobi-wine-tells-acholi-vote-for-me-in-2021/\xa0\u2026 via @nilepostnews @nbstv #NilePostNews #NBSUpdates],0.0
[\nJul 21\n],EKYOOTO,[Bobi Wine will defeat Museveni and saluted by army 10 reasons why . https://ekyooto.com/2019/07/21/bobi-wine-will-defeat-museveni-and-saluted-by-army-10-reasons-why/\xa0\u2026],0.0
[\nJul 20\n],TEAM-KYAGULANYI #OFFICIAL,"[TEAM-KYAGULANYI #OFFICIAL Retweeted BOBI WINE, Northern Uganda decidedH.E BobiWine is the 10th President come 2021. \n#TeamKyagulanyi\n#National-ID together we canhttps://twitter.com/HEBobiwine/status/1152653396907823111\xa0\u2026, TEAM-KYAGULANYI #OFFICIAL added,]",0.0
