DATES,TITLE ARTICLE,ARTICLE CONTENT
        Added 20th March 2019 04:30 PM       ,Bobi Wine calls for calm over impending eviction,"I therefore, urge you to stay calm and be focused working with the area leaders,” Kyagulanyi told residents.			googletag.cmd.push(function() { googletag.display('div-gpt-ad-1496656157133-0'); });		PIC:  Kyandondo East MP, Robert Kyagulanyi addressing residents of Kamwokya on land eviction in Kampala on Tuesday March 19, 2019. (Photo by Francis Emorut)KAMPALA- The Kyandondo East MP Robert Kyagulanyi has appealed to residents of Kamwokya who are affected by the pending land eviction to remain calm.			googletag.cmd.push(function() { googletag.display('div-gpt-ad-1518611395617-0'); });					googletag.cmd.push(function() { googletag.display('div-gpt-ad-1518611395617-0'); });		“Any land eviction is born out of court orders as a result of legal due process which has not happened. I therefore, urge you to stay calm and be focused working with the area leaders,” Kyagulanyi told residents.This was during a crisis meeting with the affected families in Kamwokya, a Kampala suburb to forge the way forward as he is also affected.“The law protects you as Kibanja owners and it’s the same law which protects people living in Kololo. I want to assure you what you own is not illegal,” he said.			googletag.cmd.push(function() { googletag.display('div-gpt-ad-1518611604321-0'); });					googletag.cmd.push(function() { googletag.display('div-gpt-ad-1518611604321-0'); });						googletag.cmd.push(function() { googletag.display('div-gpt-ad-1501674790852-0'); });			 Kyandondo East MP Robert Kyagulanyi (left) talks to councillor James Kakooza in Kamwokya during a meeting on land eviction. (Photo by Francis Emorut) This follows a formal complaint by Pearl Hope Investments Limited through Lubega and Company Advocates in a letter dated March 11, notifying Kyagulanyi aka Bobi Wine and others over land trespass and to respond to the letter within 21 days.“You went ahead and demolished the old premises thereon. You erected Ssemakokiro Plaza on the land wherein you have your recording studios and other activities.As you may appreciate, you are purely a trespasser on our client’s land, our client on purely humanitarian grounds gives you a notice of seven days within which you should remove your developments as they constitute a nuisance therein,” the letter addressed to the MP reads in part.The land in contention is 26 acres located on  Block 213, plots 20-78.According to Goretti Katana who was born in the area 30 years ago the looming eviction is going to affect over 700 families.The local area leaders James Kakooza a councillor, Kabuye Ssebatta and Fred Ssentammu the LCI chairman were present during the meeting and assured the affected families the court due process should be followed before eviction  				googletag.cmd.push(function() { googletag.display('div-gpt-ad-1518611800417-0'); });							googletag.cmd.push(function() { googletag.display('div-gpt-ad-1518611800417-0'); });									googletag.cmd.push(function() { googletag.display('div-gpt-ad-1501674874561-0'); });					"
        Added 4th July 2019 07:57 PM       ,"Court summons Bobi Wine, Zaake","Grade One Magistrate Isaac Kintu, was  prompted to issue the summons, on grounds that the duo, together with others, had breached the bail terms, by non-appearance.			googletag.cmd.push(function() { googletag.display('div-gpt-ad-1496656157133-0'); });		Gulu Chief Magistrate’sCourt has slapped criminal summons on alleged treasonists, legislators Robert Kyagulanyi and Francis Zaake, after they skipped court.Grade One Magistrate Isaac Kintu was prompted to issue the summons, on grounds that the duo, together with others, had breached the bail terms, by non-appearance.The legislators are part of the group of 37 persons charged over the chaos that engulfed the last day of the Arua Municipality by-election, in August last year.The legislators purportedly mobilised rowdy youths that blocked President Yoweri Museveni’s motorcade, pelted it with stones and shattered the hind windshield of the Land Cruiser.Kyagulanyi(Kyadondo East MP) is popularly known by his music stage name Bobi Wine, while Zaake is Mityana Municipality MP. Also slapped with the summons, is Jinja Municipality MP Paul Mwiru, and Democratic Party members; politicians Mike Mabikke and John Mary Ssebuwufu.The court on Thursday morning ordered them to make an appearance on August 6, lest they are slapped with an arrest warrant and bail cancellation.The Magistrate disclosed that on the same day, the Director of Public Prosecutions is expected to present an indictment report, to enable the trial to commence at the High Court.Treason is a capital offence, that the High Court has jurisdiction to conduct the trial. The Chief Magistrate Court can only handle the initial process of formal charges, and prepare the committal process to trial. Lawyers want Museveni, SFC to explainCaleb Alaka also informed the court that they intend to summon the President, and former Special Forces Command boss Maj Gen. Don Nabasa, as witnesses. Alaka said SFC should explain what transpired on August 13 last year. The defence legal team also comprises Paul Accellam Ocaya and Tony Kitara.“We will also invite His Excellency the President of the Republic of Uganda and the then commander of SFC  Don Mugenyi Nabasa because the state will not invite them and the truth is with them,” stated Alaka.“So, we needed to know because all these accused cannot hold one stone and threw it to the vehicle. So, we are giving them (state) a clear signal that this is the road-map of our defence.”The prosecution team is composed of Senior Resident State Attorney Patrick Omia and Julius Ocen.Wadri speaks outSpeaking shortly after court adjournment, one of the accused, Arua Municipality MP, Kassiano Wadri who was present, wondered why his colleagues were absent.“Honestly, I find it very difficult to explain the absence of my colleagues in court today because we were here two months ago, and were given a grace period of two months to rest and re-organise ourselves,” Wadri explained.Wadri said Kyagulanyi and Zaake were abroad, and that Mabikke had reported that his car developed mechanical failure on his way to Gulu. 				googletag.cmd.push(function() { googletag.display('div-gpt-ad-1496657157715-0'); });							googletag.cmd.push(function() { googletag.display('div-gpt-ad-1518611800417-0'); });							googletag.cmd.push(function() { googletag.display('div-gpt-ad-1518611800417-0'); });									googletag.cmd.push(function() { googletag.display('div-gpt-ad-1501674874561-0'); });					"
        Added 1st May 2019 08:26 PM       ,Bobi Wine’s supporters warned against planned processions,"						 MP Robert Kyagulanyi is currently on remand. File Photo					The Kyadondo East MP is expected in court today on Thursday where he expects to get bail			googletag.cmd.push(function() { googletag.display('div-gpt-ad-1496656157133-0'); });		Police has cautioned the public against joining any procession to the Buganda Road Court where the Kyadondo East MP Robert Kyagulanyi is expected to appear.The Kampala Metropolitan Police spokesperson, Patrick Onyango, said the Police was not notified about planned processions.			googletag.cmd.push(function() { googletag.display('div-gpt-ad-1518611395617-0'); });					googletag.cmd.push(function() { googletag.display('div-gpt-ad-1518611395617-0'); });		“We are not going to allow any procession all any kind of gathering because it was not cleared by police. As far as we know; those planned processions are illegal,” he said in an interview.The opposition members subscribing to the Democratic Party (DP) bloc also claiming to be part of the People Power political pressure group, have vowed to hold a procession to court.Addressing journalists during DP’s weekly press briefing, the Social Democratic Party’s (SDP) Mike Mabikke said they have organised a procession to court, saying it is their right and they do not need any permission from the Police.Kyagulanyi aka Bobi Wine is expected in court today on Thursday where he expects to get bail. 			googletag.cmd.push(function() { googletag.display('div-gpt-ad-1518611604321-0'); });					googletag.cmd.push(function() { googletag.display('div-gpt-ad-1518611604321-0'); });		On Monday, Kyagulanyi was charged with disobedience of statutory duty relating to his 2018 social media tax demonstration in the city.				googletag.cmd.push(function() { googletag.display('div-gpt-ad-1501674790852-0'); });			Onyango said the plan to escort a suspect to court is managed by the trained personnel but not civilians.“Those who want to attend court should go individually but not in a procession because we shall not allow it. They should leave the Police to do its work and they should also respect the law,” he said. Addressing journalists at the Police’s weekly press briefing at Central Police Station in Kampala, the police spokesperson, Fred Enanga said they will not tolerate any political group who organise unlawful assemblies and processions.He noted that although the constitution guarantees the freedom of assembly, association and expression the Public Order Management Act requires that the Police must be notified.Enanga said some political forces like the Forum for Democratic Change and People Power continue to defy the procedures which will not be tolerated.				googletag.cmd.push(function() { googletag.display('div-gpt-ad-1518611800417-0'); });							googletag.cmd.push(function() { googletag.display('div-gpt-ad-1518611800417-0'); });									googletag.cmd.push(function() { googletag.display('div-gpt-ad-1501674874561-0'); });					"
        Added 24th July 2019 05:04 PM       ,Special Report: Murders that have...,"			googletag.cmd.push(function() { googletag.display('div-gpt-ad-1496656157133-0'); });		.				googletag.cmd.push(function() { googletag.display('div-gpt-ad-1496657157715-0'); });							googletag.cmd.push(function() { googletag.display('div-gpt-ad-1518611800417-0'); });							googletag.cmd.push(function() { googletag.display('div-gpt-ad-1518611800417-0'); });			"
        Added 18th June 2019 06:37 PM       ,Music promoter Bajjo jailed over inciting violence,"						Andrew Mukasa aka Bajjo in the dock at the Buganda Road Court where he was charged. Photo by Sylvia Katushabe					Bajjo was arrested last Saturday at Mix Lounge, Centenary Park immediately after a press conference			googletag.cmd.push(function() { googletag.display('div-gpt-ad-1496656157133-0'); });		Music promoter Andrew Mukasa popularly known as Bajjo has been remanded to Luzira Prison on charges of inciting violence and offensive communication against President Yoweri Museveni.Bajjo appeared before the Buganda Road Court Grade One Magistrate, Stella Amabiris, at about 5:30 pm who read out the charges to him. 			googletag.cmd.push(function() { googletag.display('div-gpt-ad-1518611395617-0'); });					googletag.cmd.push(function() { googletag.display('div-gpt-ad-1518611395617-0'); });		However, Bajjo, 29, who appeared crestfallen, denied the charge of inciting violence but pleaded guilty on offensive communication.At that point, his lawyer Erias Lukwago informed the magistrate that his client did not understand the second count due to what he called poor interpretation by the court clerk.“Your Worship, I think my client has not understood the second charge because of poor interpretation by the court clerk and I beg the charge to be read out to him afresh because we have also not understood the interpretation of the second count,” Lukwago submitted.After an exchange between Lukwago and the magistrate, the case was stood over for 10 minutes to get another interpreter in vain.			googletag.cmd.push(function() { googletag.display('div-gpt-ad-1518611604321-0'); });					googletag.cmd.push(function() { googletag.display('div-gpt-ad-1518611604321-0'); });		When the hearing resumed, the magistrate instead adjourned the case until June 25 when Bajjo will take plea on the second count.				googletag.cmd.push(function() { googletag.display('div-gpt-ad-1501674790852-0'); });			The case The prosecution alleges that during the month of June 2019 at various places of Masaka, Mbarara, Ibanda and Kampala, Bajjo incited members of the public to carry out violent acts against the person of the President. In regard to offensive communication, the state alleges that Bajjo also in June this year with the intent to disturb the peace and privacy of the President, recorded a video and posted it on social media containing messages that he would overthrow the government before 2021. According to the prosecution, Bajjo allegedly used his mobile phone to make the suggestion with no purpose of legitimate communication. The arrestBajjo was arrested on Saturday at Mix Lounge, Centenary Park immediately after a press conference in which he announced a marathon organised to facilitate Kyadondo East Member of Parliament Robert Kyagulanyi aka Bobi Wine, to recoup money he lost in failed concerts. Recently, the Police blocked Bobi Wine's concerts for allegedly turning them into political rallies.Bajjo was in the company of his colleague Abby Musinguzi alias Abtex during the press conference but security operatives only picked him.    In May 2019, the duo sued the Police and the Attorney General at the civil division of the High Court over stopping Bobi Wine organising his Kyarenga concerts. According Musinguzi, the concerts had been organised in the districts of Kampala, Lira, Gulu and Arua from April 22 to May 5. The events companies say that they had entered into an agreement with Bobi Wine and his crew to provide entertainment at sh230m through the Easter festivities but the Police blocked them.Bajjo and Abtex claim that they had paid a non-refundable booking fee to Bobi Wine constituting half of the total cost for the four shows, but they have since suffered economic loss as a result of the cancellation of the concerts.				googletag.cmd.push(function() { googletag.display('div-gpt-ad-1518611800417-0'); });							googletag.cmd.push(function() { googletag.display('div-gpt-ad-1518611800417-0'); });									googletag.cmd.push(function() { googletag.display('div-gpt-ad-1501674874561-0'); });					"
        Added 14th May 2019 05:43 PM       ,"Besigye, Bobi Wine talks a good step for opposition — DP","						Former FDC president Kiiza Besigye (left) is said to be in talks with MP Robert Kyagulanyi. File Photo					“If we strengthen our unity, we can achieve what we want""			googletag.cmd.push(function() { googletag.display('div-gpt-ad-1496656157133-0'); });		The Democratic Party (DP) has described the meeting between Dr Kizza Besigye and Kyadondo East MP Robert Kyagulanyi as a good step towards unity in opposition.Despite the criticisms from various political actors and analysts over the unexpected meeting, the party’s spokesperson, Kenneth Kakande said the meeting was a good gesture that must be upheld.			googletag.cmd.push(function() { googletag.display('div-gpt-ad-1518611395617-0'); });					googletag.cmd.push(function() { googletag.display('div-gpt-ad-1518611395617-0'); });		“We are happy with the gesture of Besigye and Kyagulanyi. This indicated that we can work together as people who want change,” he noted.Kakande who was addressing the party’s weekly press briefing at the party headquarters on Tuesday stressed that the opposition can achieve a lot if they work together.“If we strengthen our unity, we can achieve what we want. We want to have one candidate for the presidency, right to the lowest elective position. This will help us not to divide votes,” he noted.			googletag.cmd.push(function() { googletag.display('div-gpt-ad-1518611604321-0'); });					googletag.cmd.push(function() { googletag.display('div-gpt-ad-1518611604321-0'); });						googletag.cmd.push(function() { googletag.display('div-gpt-ad-1501674790852-0'); });			DP spokesperson Kenneth Kakande addressing the media at the party’s headquarters in Kampala. Photo by Wilfred Sanya They also raised concern about the conduct of the recently deployed Local Defence Unit (LDU) personnel, saying the public has been complaining about their misconduct with accusations ranging from extortion and torture. In an interview with New Vision, the Police spokesperson, Fred Enanga, said they were going to work with the Uganda People’s Defence Forces to investigate the claims.Enanga urged the public to always report cases of misconduct by the individual LDUs to the nearest Police station or post.He explained that LDUs are under the UPDF but are supervised by the Police, depending on the locations where they are deployed.Enanga said they have not received any formal complaint of misconduct by the LDUs.“If anyone has a case against these LDUs, you should report to the Police and LCs. The LCs are supposed to monitor the operations of the LDUs and report to the Police. We shall punish those who go astray. Different LDUs are attached to different Police stations and can easily be identified,” he said.A total of 6000 LDUs were recruited to boost the Police in curbing crime in the city and other neighbouring areas of Wakiso and Mukono.				googletag.cmd.push(function() { googletag.display('div-gpt-ad-1518611800417-0'); });							googletag.cmd.push(function() { googletag.display('div-gpt-ad-1518611800417-0'); });									googletag.cmd.push(function() { googletag.display('div-gpt-ad-1501674874561-0'); });					"
        Added 24th July 2019 09:16 PM       ,Bobi Wine launches People Power team,"However, the team suffered a set back at the start after Bildad Moses Adome (Jie County) Member of Parliament, who was appointed as the main coordinator in charge of Karamoja region, turned down the appointment, saying he was not consulted.			googletag.cmd.push(function() { googletag.display('div-gpt-ad-1496656157133-0'); });		On Wednesday, People Power movement a group of opposition politicians affiliated to Kyadondo East Member of Parliament unveiled 140 member team to spearhead their mobilization activities across the country as they head towards the 2021 presidential elections.The function, attended by opposition figures in other opposition parties such as FDC, DP, took place at BobiWine's home in Magere, Wakiso district.			googletag.cmd.push(function() { googletag.display('div-gpt-ad-1518611395617-0'); });					googletag.cmd.push(function() { googletag.display('div-gpt-ad-1518611395617-0'); });		The team has representatives from all the regions of Uganda.However, the team suffered a set back at the start after Bildad Moses Adome (Jie County) Member of Parliament, who was appointed as the main coordinator in charge of Karamoja region, turned down the appointment, saying he was not consulted.He has also noted that those who appeared on the list as People Power Karamoja delegates were not from Karamoja.In an interview with New Vision, Adome noted: “I have seen a media circulation from the people power fraternity of which my name again comes in as a coordinator for Karamoja region with a group of others I don't believe are true Karamojong’s or are just concoctions as well.  Looking at the list, it’s surely a presumption by the people power group that whoever voted against the age limit is for them.  This is not true to some of us,” the MP said.			googletag.cmd.push(function() { googletag.display('div-gpt-ad-1518611604321-0'); });					googletag.cmd.push(function() { googletag.display('div-gpt-ad-1518611604321-0'); });						googletag.cmd.push(function() { googletag.display('div-gpt-ad-1501674790852-0'); });			 The list comprised some members of Parliament who were not present at the function but belong to other political parties.“Please, it’s my humble request that those whose very interest has been to demonize me,  wait for a little till I confirm soonest my position.  You can confirm yours anyway, it’s your right,” the MP added.He noted that whereas it was his right to belong to any political party, “it is also my right to be protected from circumstances that may be of jeopardy to my roles as a member of parliament from National Resistance Movement. I will request to know what exactly the people power stands for,  what they would wish me to do and how they expect me to do and how possibly it may be of help to the people I lead.  Short of the above, I won't be fooled to accept what I don't see light in,” Adome added.				googletag.cmd.push(function() { googletag.display('div-gpt-ad-1518611800417-0'); });							googletag.cmd.push(function() { googletag.display('div-gpt-ad-1518611800417-0'); });									googletag.cmd.push(function() { googletag.display('div-gpt-ad-1501674874561-0'); });					"
        Added 15th March 2019 10:51 AM       ,Locked phones delays Bobi Wine treason case investigations - Police,"						Bobi Wine(in blue suit), Francis Zake(in pick attire) and other treason suspects appearing before the grade one magistrate. Photo by Arnest Tumwesige					Progress into their investigations is being delayed due to the fact that most of the phones have passwords that are only known by the owners.			googletag.cmd.push(function() { googletag.display('div-gpt-ad-1496656157133-0'); });		CRIME|JUSTICEGULU - Investigation into the treason case against Robert Kyagulanyi alias Bobi Wine and 35 others has delayed due to refusal by the accused to reveal the passwords of their phones seized by Police.During the mention of the case presided over by Isaac Kintu Imoran, the Grade I magistrate, Davis Lusambu the O.C CID of Arua told court that the properties belonging to the accused persons are in two categories that is; those being treated as exhibits and those treated as an Acknowledgement of Persons/Suspect’s Property (APP).Lusambu added that items like phones, Ipad and motor vehicles are some of the exhibits that are in police custody to help in the investigations.Lusamba said all the phones are being treated as exhibits and are under the forensics department for analysis.He however, noted that progress into their investigations is being delayed due to the fact that most of the phones have passwords that are only known by the owners.“Efforts by forensic department to press the owners to provide passwords have been futile. It has caused a delay into the completion of the work,” Lasumbu told court throwing the congregation into laughter.He also said most of the APPs have been handed back except the mobile phones.In a similar submission, Herbert Wanyoto the West Nile Regional CID said police has 20 mobile phones in custody but they’ve found it difficult to continue with investigations.“In the sense that the accused persons are uncooperative by way of volunteering their passwords or thumb prints, it is in the interest of justice that this court compel the concerned persons to avail those passwords to the police for the success of the investigation,” Wanyoto requested court.In response, Tonny Kitara the defense counsel rejected the plea adding that the accused persons are by law protected not do self-incrimination.Status of other propertiesThe regional police CID also told court that vehicle registration number UAX 354E land cruiser belonging to Ariko Herbert, the MP Soroti municipality which was in possession of Gerald Karuhanga was returned back.Lusambu had earlier told court that a grader UAP 064R and UAT 416K Toyota Tundra pickup are in police custody but the owners are not among the accused.Other cars whose owners are in court are; UAW 207A a land cruiser and UAU 918N Toyota Kulger. However, a pistol Number D4627 with 12 rounds of ammunition whose owner was also in court is on a different case.In what seem to have puzzled the defense team, Counsel Fredrick Ronald Kalule, said the submission by the two police officers was by far missing a lot property for his clients.These include; money, knickers, pads, wedding rings, car keys and shoes and therefore asked court to intervene and order for their return.Police accused of using the accused’s phonesShiraj Nalunga Rashida also a defense Counsel told court that police is rather playing tricks. She noted that police use the phones of some accused persons to call their spouses, friends and issuing them with threats. She cited an example where Hon. Kyagulanyi’s phone was used to call the wife and friends.The police officers appeared in court following court order that Arua and Gulu district CID explain the state of the properties of the accused persons.Ronald Were, the former Gulu district CID boss told court that when he interacted with the accused persons, they did have their belongings after being transferred from Arua.Defense ask court to refer the caseReferring the court to the Ruling of the Constitutional court on case of Dr. Kizza Besigye Vs the Attorney General of 2007, No.7, Tonny Kitara, the defense Counsel said the accused in the case was severely tortured and his rights were grossly violated but was later exonerated.Kitara who also submitted a copy of the ruling prayed to court to dismiss/discontinue the trail against all the accused persons, in the unlikely event that court does not dismiss the case, the court rather stay all the proceeding and refer to the constitutional court or court stay the proceedings in the case to give time to petition constitutional court challenge the proceedings.State rejects plea by defenseJulius Ocen the prosecutor said while it is true citizens should claim for their rights and freedoms provided for by the constitution, it should be noted that the citizens have duties to respect the constitution.Ocen added that state organs cannot just sit and watch citizens as they go on rampage. On other note, the prosecutor told court that investigations into the matter are almost complete.He said the delay had been caused by the absence of A36 (Hon. Francis Zake the MP Mityana municipality).The mentioning that started at about 9:50am and concluded at 12:00pm was adjourned by Kintu to July 4, 2019.Case backgroundA total of 36 suspects are facing Treason charge after being accused of throwing stones at one of the motorcade in the Presidential convoy in Arua municipality. This was during the climax of the Municipal MP byelection campaigns where the team of Kassiano Wadri clashed with that of the President in the evening.				googletag.cmd.push(function() { googletag.display('div-gpt-ad-1496657157715-0'); });							googletag.cmd.push(function() { googletag.display('div-gpt-ad-1518611800417-0'); });							googletag.cmd.push(function() { googletag.display('div-gpt-ad-1518611800417-0'); });									googletag.cmd.push(function() { googletag.display('div-gpt-ad-1501674874561-0'); });					"
        Added 2nd May 2019 12:56 PM       ,Bobi Wine bail application verdict for 2pm,"						 Thursday's session was conducted using the video conferencing system. (Credit: Timothty Murungi)					In its submission, the state argues that the court needs to ""strike a balance between the individual rights of the applicant and the rights of society at large"".			googletag.cmd.push(function() { googletag.display('div-gpt-ad-1496656157133-0'); });		COURTKAMPALA - Buganda Road Chief Magistrates Court is expected to deliver its ruling on the bail application of Kyadondo East MP Robert Kyagulanyi (Bobi Wine) at about 2pm today in Kampala.This was after the defence team presented their client's bail application to court, alongside three sureties - plus arguments for bail. The prosecution side was also given an opportunity to present their submission against bail for the legislator.Kyagulanyi, the accused, followed proceedings remotely from Luzira Prison via the video conferencing system. He stood in a prison court dock, flanked by two prison officers, throughout the session.After about three hours of proceedings, the trial magistrate, Esther Nahirya, decided to stand over the session for an hour, to allow her time to prepare the judgement on the bail application.The verdict is expected at around 2pm local time.Kyagulanyi was at the beginning of this week remanded to Luzira Prison after being charged with disobedience of statutory duty.The charge sheet tendered before court showed that the musician-turned-politician faces charges of offences he allegedly committed last year. He is said to have held a public meeting without giving notice to any authorized officer or Police.In its submission, the state argued that the court needed to ""strike a balance between the individual rights of the applicant and the rights of society at large"".The state attorney arguing against bail for Kyagulanyi ""The balance can only be well-struck by maintaining the applicant in safe lawful dentention facilities, like where he is at,"" said the state attorney.""In doing so, the accused's rights of safety will be maintained along with the right of other members of society.""In response, the defence side submitted that "" the right to liberty of an individual is a fundamental right"" and is ""next only to the individual's right to life"".For his bail application, Kyagulanyi presented MPs Patrick Nsamba (Kassanda North), Gaffa Mbwatekamwa (Kasambya County) and former ethics and integrity minister Miria Matembe to stand surety for him.The prosecution side punched holes in the trio.The accused, MP Robert Kyagulanyi, followed proceedings remotely via video conferencing To begin with, the state attorney said that at 64, Matembe, a former member of the Pan-African Parliament, is of advanced age and is ""not visibly capable to compel the applicant to adhere to the orders of court"".And about the other sureties: ""The two are co-equals of the accused person and do not have any legitimate authority over the applicant"".The state argued: ""For a person to qualify as a substantial surety, consideration is not merely based on status or prestige. The sole consideration is that the surety should be capable of compelling the accused person to appear in court. It is my submission that the sureties presented can only merely request the applicant to report to court, which request can be ignored.""On the place of abode, the prosecution argued that considering that Kyagulanyi lives in Magere, Wakiso district, the Buganda Road Chief Magistrates Court has no jurisdiction over the residence of the applicant.But while all the sureties present also reside ""way outside"" the jurisdiction of the court, ""the law does not require the sureties to have a place of abode within the court's jurisdiction - unlike the applicant "", prosecution added.The defence team's Samuel Muyizi Mulindwa said: ""The test to be applied is a qualitative test - and this court can take judical notice that the sureties have well known public known residences.""Defence lead counsel Asuman Basalirwa ubtantiality has no relation with age ""They [sureties] have a clear public nexus and private bond with the accused person,"" said lead defence counsel Asuman Basalirwa.""Subtantiality has no relation with age. One of them is a neighbour [Matembe] and the other two are MPs who are always in Parliament with him.  They have influence over him. Bail must not be hinged on financially ability,"" he said.On the state's recommendations that if the accused is to be granted bail, it should be sh10m and cash, Basalirwa said that their client, being also a musician, had over 100 concerts of his cancelled.He was also critical of the video conferencing system to conduct the bail application hearing, saying that ""if it was not for the liberty of our client"", they would not have submitted to the use of this mode of the application.The lawyer called it an ""ambush"", saying they were ""not able to consult with our client"". When offered a chance by the magistrate to speak, cautioning him to ""refresh from political phrases"", Kyagulanyi said: ""My business is standing for the truth. My business is standing for what is morally right"".""If standing for what is right will keep me in prison, then I will thank God even more,"" he said.After the magistrate broke off the session, Kyagulanyi's supporters chanted inside the packed courtroom.Also related to this storyBobi Wine back in court via video conferencing				googletag.cmd.push(function() { googletag.display('div-gpt-ad-1496657157715-0'); });							googletag.cmd.push(function() { googletag.display('div-gpt-ad-1518611800417-0'); });							googletag.cmd.push(function() { googletag.display('div-gpt-ad-1518611800417-0'); });									googletag.cmd.push(function() { googletag.display('div-gpt-ad-1501674874561-0'); });					"
        Added 21st May 2019 02:21 PM       ,Music promoters sue IGP over Bobi Wine concerts,"						Bobi Wine was detained by the Police on Easter after he defied orders not to proceed to his One Love Beach in Busaabala where one of the concerts was slated to take place. Photo by Ashraf Kasirye					They claim that on April 19, this year, the Police without justifiable reasons indefinitely suspended their Kyarenga Extra concerts			googletag.cmd.push(function() { googletag.display('div-gpt-ad-1496656157133-0'); });		A group of music promoters have petitioned court seeking orders restraining Police from blocking their concerts.Abby Musinguzi and Andrew Mukasa claim that the indefinite suspension of concerts involving Kyadondo East MP Robert Kyagulanyi aka Bobi Wine has not only caused them irreparable loss but is also illegal and amounts to an abuse of power.			googletag.cmd.push(function() { googletag.display('div-gpt-ad-1518611395617-0'); });					googletag.cmd.push(function() { googletag.display('div-gpt-ad-1518611395617-0'); });		Musinguzi is the proprietor of Abtex Productions while Mukasa is the managing director of Bajjo Events and Marketing Agency Ltd.In a suit lodged at the Civil Division of the High Court on Tuesday, they claim that on April 19, the Police without justifiable reasons indefinitely suspended their Kyarenga Extra concerts despite fulfilling all the requirements imposed on them.According to Musinguzi, they were required to produce clearance to use the intended venues, a detailed program for each activity, ambulance facilities and a list of performers at each venue which they allegedly fulfilled on time but the Police went ahead to stop their concerts.The Inspector General of Police, Martin Okoth Ochola, and the Attorney General William Byaruhanga have been listed as the respondents in the matter.			googletag.cmd.push(function() { googletag.display('div-gpt-ad-1518611604321-0'); });					googletag.cmd.push(function() { googletag.display('div-gpt-ad-1518611604321-0'); });		The duo who filed the case through Lukwago &amp; Company Advocates, contends that the Police directive on the concerts was made in violation of their right to a fair hearing guaranteed under Article 28, 42 and 44 of the Constitution.				googletag.cmd.push(function() { googletag.display('div-gpt-ad-1501674790852-0'); });			They want the court to issue an order of mandamus directing the Police to provide security at their concerts instead of blocking them.Abby Musinguzi of Abtex Productions (left) and lawyer Erias Lukwago (right) filing paperwork at the registry of the civil division of the High Court. Photo by Michael Odeng They claim that they entered into an agreement with Bobi Wine to perform at their concerts at a cost of sh230m and made an advanced non-refundable payment to him but couldn't hold the concerts due to the Police’s impugned directives.“On March 25, 2019, we wrote to the IGP requesting for security at the said concerts as required under the law. The IGP wrote back to us setting out conditions we should fulfill before our concerts could be cleared. We fulfilled the conditions but we were upset when on April 19 he directed us to immediately suspend them without advancing any reason to that effect,” Musinguzi contends.They also want the court to declare that their arrest and detention by the Police without an allegedly genuine cause at Busabala Beach on April 22, 2019, amounted to the violation of their right to carry out business contrary to Articles 20, 23 and 40 of the Constitution.According to their lawyer Erias Lukwago, the conduct of the Police throughout the entire process was fraught with irrationality, illegal, tainted with procedural impropriety, made in bad faith and amounted to the violation of the applicant’s freedom to liberty and economic rights guaranteed under the Constitution.Lukwago says that the petitioners are not obliged under the law to seek Police clearance under the Public Order Management Act but only to inform it about their event.Musinguzi explained that their major aim is not about getting damages but enforcement of their human rights as Ugandans.“We have not come here majorly for money but the protection of our rights by the court. If the court finds that we deserve damages, it will be its discretion,” Musinguzi noted.The court’s deputy registrar Sarah Langa Siu has given the IGP and the AG 15 days to file their defence against the allegations.Langa has also allocated the matter to High Court judge Lydia Mugambe for hearing.				googletag.cmd.push(function() { googletag.display('div-gpt-ad-1518611800417-0'); });							googletag.cmd.push(function() { googletag.display('div-gpt-ad-1518611800417-0'); });									googletag.cmd.push(function() { googletag.display('div-gpt-ad-1501674874561-0'); });					"
